punto,este,norte,elevacion,descrip
484,810248.794,8077302.023,2901.172,p176
485,810248.514,8077297.95,2900.552,p177
486,810246.091,8077288.282,2898.891,p178
487,810245.506,8077288.072,2898.844,p179
488,810244.937,8077287.104,2898.605,p180
489,810250.674,8077284.658,2898.684,p181
490,810280.402,8077268.799,2897.54,p182
491,810239.177,8077266.987,2895.413,p183
492,810227.609,8077242.041,2890.736,p184
493,810224.99,8077235.936,2890.357,p185
494,810225.59,8077235.241,2890.128,p186
495,810225.547,8077234.37,2889.723,p187
496,810286.669,8077535.137,2938.659,fvia1
497,810241.819,8077524.832,2941.982,fvia2
498,810281.199,8077515.577,2936.494,fvia3
499,810282.27,8077534.987,2939.527,fvia4
500,810291.308,8077480.4,2930.047,fvia5
501,810296.986,8077453.069,2926.199,fvia6
502,810296.759,8077412.58,2918.783,fvia7
503,810323.215,8077360.171,2911.259,fvia8
